name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,rate_of_force,town_name,county,patrol_area,full_url
"Woodbury Heights, Gloucester",/database/pd-dept/woodbury-heights-gloucester,648%,more likely,81%,less likely,1,4,4,7,This department uses force at higher rate than 429 police departments,Woodbury Heights,Gloucester County,Patrol area: Woodbury Heights,http://force.nj.com/database/pd-dept/woodbury-heights-gloucester
"Woodbury, Gloucester",/database/pd-dept/woodbury-gloucester,299%,more likely,39%,more likely,0,20,22,28,This department uses force at higher rate than 246 police departments,Woodbury,Gloucester County,Patrol area: Woodbury,http://force.nj.com/database/pd-dept/woodbury-gloucester
"Woodcliff Lake, Bergen",/database/pd-dept/woodcliff-lake-bergen,N/A,Not found,N/A,Not found,0,2,2,18,This department uses force at lower rate than 363 police departments,Woodcliff Lake,Bergen County,Patrol area: Woodcliff Lake,http://force.nj.com/database/pd-dept/woodcliff-lake-bergen
"Woodland Park, Passaic",/database/pd-dept/woodland-park-passaic,707%,more likely,40%,more likely,1,11,12,26,This department uses force at higher rate than 465 police departments,Woodland Park,Passaic County,Patrol area: Woodland Park,http://force.nj.com/database/pd-dept/woodland-park-passaic
"Woodlynne, Camden",/database/pd-dept/woodlynne-camden,95%,more likely,112%,more likely,1,7,7,6,This department uses force at higher rate than 448 police departments,Woodlynne,Camden County,Patrol area: Woodlynne,http://force.nj.com/database/pd-dept/woodlynne-camden
"Woodstown, Salem",/database/pd-dept/woodstown-salem,322%,more likely,13%,more likely,0,4,4,8,This department uses force at higher rate than 362 police departments,Woodstown,Salem County,Patrol area: Woodstown,http://force.nj.com/database/pd-dept/woodstown-salem
"Woolwich &amp; Swedesboro, Gloucester",/database/pd-dept/woolwich-gloucester,N/A,Not found,N/A,Not found,0,4,4,21,This department uses force at lower rate than 446 police departments,Woolwich,Gloucester County,Patrol area: Woolwich &amp; Swedesboro,http://force.nj.com/database/pd-dept/woolwich-gloucester
"Wyckoff, Bergen",/database/pd-dept/wyckoff-bergen,2788%,more likely,7%,more likely,0,13,13,24,This department uses force at higher rate than 383 police departments,Wyckoff,Bergen County,Patrol area: Wyckoff,http://force.nj.com/database/pd-dept/wyckoff-bergen
"Hi-Nella, Camden",/database/pd-dept/hi-nella-camden,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/hi-nella-camden
"Lawnside, Camden",/database/pd-dept/lawnside-camden,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/lawnside-camden
"Pine Valley, Camden",/database/pd-dept/pine%20valley-camden,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/pine%20valley-camden
"Franklin, Hunterdon",/database/pd-dept/franklin-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/franklin-hunterdon
"Tewksbury, Hunterdon",/database/pd-dept/tewksbury-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/tewksbury-hunterdon
"Elmer, Salem",/database/pd-dept/elmer-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/elmer-salem
"Holland, Hunterdon",/database/pd-dept/holland-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/holland-hunterdon
"New Hanover, Burlington",/database/pd-dept/new-hanover-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/new-hanover-burlington
"Buena Vista, Atlantic",/database/pd-dept/buena-vista-atlantic,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/buena-vista-atlantic
"Corbin City, Atlantic",/database/pd-dept/corbin-city-atlantic,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/corbin-city-atlantic
"Estell Manor, Atlantic",/database/pd-dept/estell-manor-atlantic,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/estell-manor-atlantic
"Folsom, Atlantic",/database/pd-dept/folsom-atlantic,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/folsom-atlantic
"Port Republic City, Atlantic",/database/pd-dept/port-republic-city-atlantic,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/port-republic-city-atlantic
"Weymouth Township, Atlantic",/database/pd-dept/weymouth-township-atlantic,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/weymouth-township-atlantic
"Wrightstown, Burlington",/database/pd-dept/wrightstown-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/wrightstown-burlington
"Woodland, Burlington",/database/pd-dept/woodland-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/woodland-burlington
"Bass River, Burlington",/database/pd-dept/bass-river-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/bass-river-burlington
"Hainesport, Burlington",/database/pd-dept/hainesport-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/hainesport-burlington
"Tabernacle, Burlington",/database/pd-dept/tabernacle-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/tabernacle-burlington
"Southampton, Burlington",/database/pd-dept/southampton-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/southampton-burlington
"Shamong, Burlington",/database/pd-dept/shamong-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/shamong-burlington
"Washington, Burlington",/database/pd-dept/washington-burlington,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/washington-burlington
"Dennis, Cape May",/database/pd-dept/dennis-cape-may,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/dennis-cape-may
"Upper, Cape May",/database/pd-dept/upper-cape-may,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/upper-cape-may
"Woodbine, Cape May",/database/pd-dept/woodbine-cape-may,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/woodbine-cape-may
"Commercial, Cumberland",/database/pd-dept/commercial-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/commercial-cumberland
"Deerfield, Cumberland",/database/pd-dept/deerfield-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/deerfield-cumberland
"Downe, Cumberland",/database/pd-dept/downe-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/downe-cumberland
"Fairfield, Cumberland",/database/pd-dept/fairfield-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/fairfield-cumberland
"Greenwich Township, Cumberland",/database/pd-dept/greenwich-township-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/greenwich-township-cumberland
"Hopewell, Cumberland",/database/pd-dept/hopewell-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/hopewell-cumberland
"Lawrence Township, Cumberland",/database/pd-dept/lawrence-township-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/lawrence-township-cumberland
"Maurice River, Cumberland",/database/pd-dept/maurice-river-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/maurice-river-cumberland
"Shiloh Borough, Cumberland",/database/pd-dept/shiloh-borough-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/shiloh-borough-cumberland
"Stow Creek, Cumberland",/database/pd-dept/stow-creek-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/stow-creek-cumberland
"Upper Deerfield, Cumberland",/database/pd-dept/upper-deerfield-cumberland,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/upper-deerfield-cumberland
"Alexandria, Hunterdon",/database/pd-dept/alexandria-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/alexandria-hunterdon
"Bethlehem, Hunterdon",/database/pd-dept/bethlehem-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/bethlehem-hunterdon
"Bloomsbury Borough, Hunterdon",/database/pd-dept/bloomsbury-borough-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/bloomsbury-borough-hunterdon
"East Amwell, Hunterdon",/database/pd-dept/east-amwell-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/east-amwell-hunterdon
"Glen Gardner Borough, Hunterdon",/database/pd-dept/glen-gardner-borough-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/glen-gardner-borough-hunterdon
"Hampton, Hunterdon",/database/pd-dept/hampton-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/hampton-hunterdon
"Kingwood, Hunterdon",/database/pd-dept/kingwood-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/kingwood-hunterdon
"Lebanon Borough, Hunterdon",/database/pd-dept/lebanon-borough-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/lebanon-borough-hunterdon
"Milford Borough, Hunterdon",/database/pd-dept/milford-borough-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/milford-borough-hunterdon
"Stockton Borough, Hunterdon",/database/pd-dept/stockton-borough-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/stockton-borough-hunterdon
"Union, Hunterdon",/database/pd-dept/union-hunterdon,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/union-hunterdon
"Farmingdale, Monmouth",/database/pd-dept/farmingdale-monmouth,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/farmingdale-monmouth
"Millstone, Monmouth",/database/pd-dept/millstone-monmouth,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/millstone-monmouth
"Roosevelt, Monmouth",/database/pd-dept/roosevelt-monmouth,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/roosevelt-monmouth
"Shrewsbury Township, Monmouth",/database/pd-dept/shrewsbury-township-monmouth,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/shrewsbury-township-monmouth
"Upper Freehold, Monmouth",/database/pd-dept/upper-freehold-monmouth,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/upper-freehold-monmouth
"Victory Gardens, Morris",/database/pd-dept/victory-gardens-morris,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/victory-gardens-morris
"Eagleswood, Ocean",/database/pd-dept/eagleswood-ocean,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/eagleswood-ocean
"Alloway, Salem",/database/pd-dept/alloway-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/alloway-salem
"Mannington, Salem",/database/pd-dept/mannington-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/mannington-salem
"Oldmans, Salem",/database/pd-dept/oldmans-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/oldmans-salem
"Pilesgrove, Salem",/database/pd-dept/pilesgrove-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/pilesgrove-salem
"Pittsgrove, Salem",/database/pd-dept/pittsgrove-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/pittsgrove-salem
"Quinton, Salem",/database/pd-dept/quinton-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/quinton-salem
"Upper Pittsgrove, Salem",/database/pd-dept/upper-pittsgrove-salem,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/upper-pittsgrove-salem
"Millstone, Somerset",/database/pd-dept/millstone-somerset,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/millstone-somerset
"Rocky Hill, Somerset",/database/pd-dept/rocky-hill-somerset,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/rocky-hill-somerset
"Andover Borough, Sussex",/database/pd-dept/andover-borough-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/andover-borough-sussex
"Branchville Borough, Sussex",/database/pd-dept/branchville-borough-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/branchville-borough-sussex
"Frankford, Sussex",/database/pd-dept/frankford-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/frankford-sussex
"Fredon, Sussex",/database/pd-dept/fredon-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/fredon-sussex
"Green, Sussex",/database/pd-dept/green-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/green-sussex
"Hampton, Sussex",/database/pd-dept/hampton-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/hampton-sussex
"Lafayette, Sussex",/database/pd-dept/lafayette-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/lafayette-sussex
"Montague, Sussex",/database/pd-dept/montague-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/montague-sussex
"Sandyston, Sussex",/database/pd-dept/sandyston-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/sandyston-sussex
"Stillwater, Sussex",/database/pd-dept/stillwater-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/stillwater-sussex
"Sussex Borough, Sussex",/database/pd-dept/sussex-borough-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/sussex-borough-sussex
"Walpack Township, Sussex",/database/pd-dept/walpack-township-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/walpack-township-sussex
"Wantage, Sussex",/database/pd-dept/wantage-sussex,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/wantage-sussex
"Allamuchy, Warren",/database/pd-dept/allamuchy-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/allamuchy-warren
"Franklin, Warren",/database/pd-dept/franklin-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/franklin-warren
"Frelinghuysen, Warren",/database/pd-dept/frelinghuysen-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/frelinghuysen-warren
"Hardwick Township, Warren",/database/pd-dept/hardwick-township-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/hardwick-township-warren
"Harmony, Warren",/database/pd-dept/harmony-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/harmony-warren
"Hope, Warren",/database/pd-dept/hope-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/hope-warren
"Knowlton Township, Warren",/database/pd-dept/knowlton-township-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/knowlton-township-warren
"Liberty Township, Warren",/database/pd-dept/liberty-township-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/liberty-township-warren
"Oxford, Warren",/database/pd-dept/oxford-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/oxford-warren
"White, Warren",/database/pd-dept/white-warren,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/white-warren
New Jersey State Police (NJSP)&nbsp;,/database/pd-dept/njsp,Not found,Not found,Not found,Not found,2,671,676,Not found,Not found,Not found,Not found,Not found,http://force.nj.com/database/pd-dept/njsp
